Ticker,Best Buy Threshold,Best Sell Threshold,Cumulative Return
ESILVER.NS,2.0,-5.0,4.636269576076635
MID150BEES.NS,0.25,-5.0,125.01599435234891
ITBEES.NS,2.0,-2.5,46.16740157031431
TNIDETF.NS,2.25,-2.5,10.804594523081024
MOREALTY.NS,1.75,-2.5,11.597900921453386
AXISHCETF.NS,2.0,-2.5,0.09913319278773702
NETFDIVOPP.NS,0.75,-5.0,-8.899932236295637
NETFCONSUM.NS,0.25,-5.0,9.951510952139886
INFRABEES.NS,1.25,-5.0,402.69726944314976
JUNIORBEES.NS,1.75,-2.5,105.55910948639094
PSUBNKBEES.NS,2.25,-5.0,67.15025605147311
ICICIB22.NS,1.5,-5.0,145.51457975902284
AXISGOLD.NS,0.25,-5.0,35.20594941734898
RELCONS.NS,0.25,-5.0,9.951510952139886
SHARIABEES.NS,0.75,-5.0,-12.526615388962803
NIFTYBEES.NS,0.25,-5.0,-86.6901312246357
CPSEETF.NS,0.25,-5.0,135.26266164120136
MOSMALL250.NS,0.5,-2.5,-4.630339054587374
HDFCSML250.NS,0.25,-5.0,45.973150544860175
MOHEALTH.NS,0.5,-5.0,39.68797618302242
FMCGIETF.NS,2.25,-2.5,8.004820218925301
MAKEINDIA.NS,2.25,-2.5,32.55351737465997
